CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),CPU Link
"Qualcomm Technologies, Inc SDM630","1,931",3206,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM630&id=3983
"Qualcomm Technologies, Inc SDM632","2,091",3106,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM632&id=3933
"Qualcomm Technologies, Inc SDM636","2,201",3043,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM636&id=3991
"Qualcomm Technologies, Inc SDM660","2,434",2898,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM660&id=3955
"Qualcomm Technologies, Inc SDM662","2,237",3028,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM662&id=4329
"Qualcomm Technologies, Inc SDM665","2,391",2924,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM665&id=4082
"Qualcomm Technologies, Inc SDM670","2,567",2825,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM670&id=4037
"Qualcomm Technologies, Inc SDM710","2,709",2747,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM710&id=3973
"Qualcomm Technologies, Inc SDM712","2,614",2798,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM712&id=4012
"Qualcomm Technologies, Inc SDM720G","3,289",2491,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM720G&id=4054
"Qualcomm Technologies, Inc SDM730G AIE","3,421",2431,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM730G+AIE&id=4071
"Qualcomm Technologies, Inc SDM750G","4,350",2165,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM750G&id=5077
"Qualcomm Technologies, Inc SDM765G 5G","3,425",2427,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM765G+5G&id=4101
"Qualcomm Technologies, Inc SDM778G","5,553",1924,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM778G&id=4509
"Qualcomm Technologies, Inc SDM845","3,390",2447,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM845&id=3906
"Qualcomm Technologies, Inc SDMMAGPIE","3,160",2548,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDMMAGPIE&id=3918
"Qualcomm Technologies, Inc SDMMAGPIEP","3,523",2394,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDMMAGPIEP&id=4041
"Qualcomm Technologies, Inc SM4250","2,120",3091,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM4250&id=4028
"Qualcomm Technologies, Inc SM4350","3,087",2582,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM4350&id=4301
"Qualcomm Technologies, Inc SM6125","2,277",2991,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM6125&id=4111
"Qualcomm Technologies, Inc SM6150","2,939",2648,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM6150&id=3934
"Qualcomm Technologies, Inc SM6225","2,692",2751,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM6225&id=4712
"Qualcomm Technologies, Inc SM6375","4,266",2184,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM6375&id=4805
"Qualcomm Technologies, Inc SM7125","3,377",2451,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM7125&id=3964
"Qualcomm Technologies, Inc SM7150","3,271",2504,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM7150&id=4043
"Qualcomm Technologies, Inc SM7225","3,390",2448,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM7225&id=3959
"Qualcomm Technologies, Inc SM7250","3,459",2415,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM7250&id=4030
"Qualcomm Technologies, Inc SM7325","6,431",1740,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM7325&id=5293
"Qualcomm Technologies, Inc SM8150","4,598",2109,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8150&id=3935
"Qualcomm Technologies, Inc SM8150_Plus","4,212",2199,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8150_Plus&id=3972
"Qualcomm Technologies, Inc SM8150P","4,495",2127,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8150P&id=3968
"Qualcomm Technologies, Inc SM8250","5,861",1852,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8250&id=3949
"Qualcomm Technologies, Inc SM8250_AC","6,416",1743,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8250_AC&id=4553
"Qualcomm Technologies, Inc SM8350","6,117",1804,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8350&id=4241
"Qualcomm Technologies, Inc SM8350AC","6,588",1707,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SM8350AC&id=4569
"Qualcomm Technologies, Inc TRINKET","2,458",2881,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+TRINKET&id=3977
"Qualcomm Technologies, Inc TRINKET-IOT","2,559",2830,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+TRINKET-IOT&id=5466
"Qualcomm Technologies, Inc. MSM8940-PMI8940 MTP","1,426",3565,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc.+MSM8940-PMI8940+MTP&id=4787
"redwood based Qualcomm Technologies, Inc. SM7325","6,448",1738,NA,NA,cpu_lookup.php?cpu=redwood+based+Qualcomm+Technologies%2C+Inc.+SM7325&id=5279
"Renoir based on Qualcomm Technologies, Inc SM7350","4,886",2057,NA,NA,cpu_lookup.php?cpu=Renoir+based+on+Qualcomm+Technologies%2C+Inc+SM7350&id=4303
RK30board,198,4921,NA,NA,cpu_lookup.php?cpu=RK30board&id=5087
rk3399,"2,046",3133,NA,NA,cpu_lookup.php?cpu=rk3399&id=6239
rk3566,595,4421,NA,NA,cpu_lookup.php?cpu=rk3566&id=5522
"RK3568 AIoT3568 Board V2.1-AD52068, LVDS(8775), HD","1,178",3773,NA,NA,cpu_lookup.php?cpu=RK3568+AIoT3568+Board+V2.1-AD52068%2C+LVDS%288775%29%2C+HD&id=6523
ROC-RK3568-PC HDMI (Android),"1,197",3755,NA,NA,cpu_lookup.php?cpu=ROC-RK3568-PC+HDMI+%28Android%29&id=4752
Rockchip (Device Tree),666,4345,NA,NA,cpu_lookup.php?cpu=Rockchip+%28Device+Tree%29&id=3954
Rockchip RK,"1,246",3704,NA,NA,cpu_lookup.php?cpu=Rockchip+RK&id=4525
Rockchip RK3228A,314,4757,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3228A&id=6517
Rockchip RK3229,285,4795,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3229&id=4224
Rockchip RK3288,708,4290,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3288&id=4318
Rockchip RK3288 (Flattened Device Tree),515,4520,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3288+%28Flattened+Device+Tree%29&id=4005
Rockchip RK3326,431,4595,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3326&id=4075
Rockchip rk3326 863 rkisp1 board,365,4681,NA,NA,cpu_lookup.php?cpu=Rockchip+rk3326+863+rkisp1+board&id=4965
Rockchip rk3326 evb board,463,4571,NA,NA,cpu_lookup.php?cpu=Rockchip+rk3326+evb+board&id=5142
Rockchip RK3328,319,4744,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3328&id=4295
Rockchip RK3328 box liantong avb,491,4540,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3328+box+liantong+avb&id=4878
Rockchip RK3368,827,4146,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3368&id=4145
Rockchip RK3399,"2,925",2656,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3399&id=3987
Rockchip RK3399 Board (Android),"1,456",3538,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3399+Board+%28Android%29&id=5273
Rockchip RK3399 EVB IND LPDDR4 Board lvds (Android,"1,862",3254,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3399+EVB+IND+LPDDR4+Board+lvds+%28Android&id=5658
Rockchip RK3399 Excavator Board edp avb (Android),"1,533",3490,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3399+Excavator+Board+edp+avb+%28Android%29&id=5164
Rockchip RK3399 Generic Board edp (Android),391,4654,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3399+Generic+Board+edp+%28Android%29&id=6286
Rockchip RK3528 DEMO4 DDR4 V10 Board,888,4069,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3528+DEMO4+DDR4+V10+Board&id=5643
Rockchip RK3562,"1,058",3900,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3562&id=5674
Rockchip RK3566,922,4033,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566&id=5429
Rockchip RK3566 BOX DEMO V10 ANDROID Board,"1,093",3855,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+BOX+DEMO+V10+ANDROID+Board&id=4734
Rockchip RK3566 EVB1 DDR4 V10 Board,751,4235,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+EVB1+DDR4+V10+Board&id=4615
Rockchip RK3566 EVB2 LP4X V10 Board,947,4014,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+EVB2+LP4X+V10+Board&id=4622
Rockchip RK3566 EVB2 LP4X V10 Board PDM Mic Array,337,4716,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+EVB2+LP4X+V10+Board+PDM+Mic+Array&id=6356
Rockchip RK3566 EVB3 DDR3 V10 Board,994,3964,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+EVB3+DDR3+V10+Board&id=4872
Rockchip RK3566 HD15 Board,"1,160",3791,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+HD15+Board&id=6265
Rockchip RK3566 RK817 EINK LP4X Board,667,4343,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+RK817+EINK+LP4X+Board&id=6585
Rockchip RK3566 RK817 TABLET LP4X Board,"1,021",3940,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+RK817+TABLET+LP4X+Board&id=4659
Rockchip RK3566 RK817 TABLET RKG11 LP4 Board,686,4317,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+RK817+TABLET+RKG11+LP4+Board&id=5137
Rockchip RK3566 RK817 ZIDOO TABLET LP4X Board,795,4180,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3566+RK817+ZIDOO+TABLET+LP4X+Board&id=4564
Rockchip RK3568,"1,172",3780,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3568&id=6360
Rockchip RK3568 EVB1 DDR4 V10 Board,"1,082",3873,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3568+EVB1+DDR4+V10+Board&id=4829
Rockchip RK3568 EVB2 LP4X V10 Board,915,4038,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3568+EVB2+LP4X+V10+Board&id=5305
Rockchip RK3568 EVB7 DDR4 V10 Board,"1,106",3842,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3568+EVB7+DDR4+V10+Board&id=5647
Rockchip RK3576,"3,885",2286,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3576&id=6213
Rockchip RK3588,"4,530",2122,NA,NA,cpu_lookup.php?cpu=Rockchip+RK3588&id=4906
"rockchip,rk3328",453,4582,NA,NA,cpu_lookup.php?cpu=rockchip%2Crk3328&id=4747
"rockchip,rk3368",870,4092,NA,NA,cpu_lookup.php?cpu=rockchip%2Crk3368&id=4532
"Samsung ""Exynos 9610""","3,168",2545,NA,NA,cpu_lookup.php?cpu=Samsung+%22Exynos+9610%22&id=5832
Samsung A04S EUR OPEN REV03C board based on EXYNOS,"2,452",2885,NA,NA,cpu_lookup.php?cpu=Samsung+A04S+EUR+OPEN+REV03C+board+based+on+EXYNOS&id=5125
Samsung A13 EUR OPEN REV02B board based on EXYNOS8,"1,230",3715,NA,NA,cpu_lookup.php?cpu=Samsung+A13+EUR+OPEN+REV02B+board+based+on+EXYNOS8&id=4873
Samsung A13 USA SINGLE REV02B board based on EXYNO,"1,528",3498,NA,NA,cpu_lookup.php?cpu=Samsung+A13+USA+SINGLE+REV02B+board+based+on+EXYNO&id=4925
SAMSUNG EXPRESS2,233,4876,NA,NA,cpu_lookup.php?cpu=SAMSUNG+EXPRESS2&id=6226
Samsung Exynos,"2,423",2908,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos&id=5578
Samsung Exynos 2100,"5,506",1938,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+2100&id=3938
Samsung Exynos 7420,"2,164",3069,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7420&id=4434
Samsung Exynos 7570,474,4558,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7570&id=4052
Samsung Exynos 7580,878,4083,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7580&id=4410
Samsung Exynos 7870,"1,038",3920,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7870&id=3994
Samsung Exynos 7880,"1,818",3289,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7880&id=4022
Samsung Exynos 7884,"1,576",3456,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7884&id=4327
Samsung Exynos 7885,"1,843",3270,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7885&id=3986
Samsung Exynos 7904,"1,833",3276,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+7904&id=3945
Samsung Exynos 850,"2,062",3126,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+850&id=5414
Samsung Exynos 8890,"2,595",2805,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+8890&id=3966
Samsung Exynos 8895,"3,165",2546,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+8895&id=3979
Samsung Exynos 9610,"2,270",2999,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+9610&id=3944
Samsung Exynos 9611,"2,570",2823,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+9611&id=4018
Samsung Exynos 980,"4,584",2110,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+980&id=5495
Samsung Exynos 9810,"3,772",2321,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+9810&id=3993
