Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
Radeon HD 6650M,755,1406,NA,NA,video_lookup.php?gpu=Radeon+HD+6650M&id=279
Radeon HD 6670,724,1436,10.50,$68.99*,video_lookup.php?gpu=Radeon+HD+6670&id=96
Radeon HD 6670 + 6670 Dual,646,1516,NA,NA,video_lookup.php?gpu=Radeon+HD+6670+%2B+6670+Dual&id=2357
Radeon HD 6670 + 7660D Dual,1492,1031,NA,NA,video_lookup.php?gpu=Radeon+HD+6670+%2B+7660D+Dual&id=3178
Radeon HD 6670/7670,945,1253,NA,NA,video_lookup.php?gpu=Radeon+HD+6670%2F7670&id=3633
Radeon HD 6700M,1016,1207,NA,NA,video_lookup.php?gpu=Radeon+HD+6700M&id=280
Radeon HD 6750,1045,1195,13.07,$79.99*,video_lookup.php?gpu=Radeon+HD+6750&id=282
Radeon HD 6750M,937,1261,NA,NA,video_lookup.php?gpu=Radeon+HD+6750M&id=283
Radeon HD 6770,1261,1101,4.76,$264.99*,video_lookup.php?gpu=Radeon+HD+6770&id=284
Radeon HD 6770M,964,1243,NA,NA,video_lookup.php?gpu=Radeon+HD+6770M&id=285
Radeon HD 6790,1584,992,5.39,$294.00*,video_lookup.php?gpu=Radeon+HD+6790&id=286
Radeon HD 6800M,776,1381,NA,NA,video_lookup.php?gpu=Radeon+HD+6800M&id=287
Radeon HD 6850,1955,866,9.24,$211.60,video_lookup.php?gpu=Radeon+HD+6850&id=45
Radeon HD 6850 X2,2534,709,NA,NA,video_lookup.php?gpu=Radeon+HD+6850+X2&id=3684
Radeon HD 6870,2208,786,8.47,$260.71,video_lookup.php?gpu=Radeon+HD+6870&id=22
Radeon HD 6900M,1701,947,NA,NA,video_lookup.php?gpu=Radeon+HD+6900M&id=290
Radeon HD 6950,2601,693,18.58,$139.99*,video_lookup.php?gpu=Radeon+HD+6950&id=36
Radeon HD 6970,2837,658,18.92,$149.99*,video_lookup.php?gpu=Radeon+HD+6970&id=84
Radeon HD 6970M,2270,768,10.51,$215.99*,video_lookup.php?gpu=Radeon+HD+6970M&id=291
Radeon HD 6990,3013,639,6.05,$498.49*,video_lookup.php?gpu=Radeon+HD+6990&id=292
Radeon HD 7290,111,2182,NA,NA,video_lookup.php?gpu=Radeon+HD+7290&id=2315
Radeon HD 7290M,123,2142,NA,NA,video_lookup.php?gpu=Radeon+HD+7290M&id=2958
Radeon HD 7310,128,2128,NA,NA,video_lookup.php?gpu=Radeon+HD+7310&id=294
Radeon HD 7310 - Carte graphique,174,2038,NA,NA,video_lookup.php?gpu=Radeon+HD+7310+-+Carte+graphique&id=2922
Radeon HD 7310G,180,2028,NA,NA,video_lookup.php?gpu=Radeon+HD+7310G&id=2852
Radeon HD 7310M,166,2056,NA,NA,video_lookup.php?gpu=Radeon+HD+7310M&id=2217
Radeon HD 7340,153,2066,0.28,$552.69*,video_lookup.php?gpu=Radeon+HD+7340&id=295
Radeon HD 7340G,196,2017,NA,NA,video_lookup.php?gpu=Radeon+HD+7340G&id=2299
Radeon HD 7340M,221,1982,NA,NA,video_lookup.php?gpu=Radeon+HD+7340M&id=2170
Radeon HD 7350,165,2059,NA,NA,video_lookup.php?gpu=Radeon+HD+7350&id=296
Radeon HD 7400G,267,1933,NA,NA,video_lookup.php?gpu=Radeon+HD+7400G&id=2333
Radeon HD 7420G,305,1900,NA,NA,video_lookup.php?gpu=Radeon+HD+7420G&id=2305
Radeon HD 7450,223,1978,4.48,$49.99*,video_lookup.php?gpu=Radeon+HD+7450&id=297
Radeon HD 7450A,288,1912,NA,NA,video_lookup.php?gpu=Radeon+HD+7450A&id=331
Radeon HD 7450M,329,1878,NA,NA,video_lookup.php?gpu=Radeon+HD+7450M&id=3039
Radeon HD 7470,289,1911,3.55,$81.37*,video_lookup.php?gpu=Radeon+HD+7470&id=298
Radeon HD 7470M,407,1807,NA,NA,video_lookup.php?gpu=Radeon+HD+7470M&id=299
Radeon HD 7480D,281,1921,NA,NA,video_lookup.php?gpu=Radeon+HD+7480D&id=2193
Radeon HD 7500G,310,1896,NA,NA,video_lookup.php?gpu=Radeon+HD+7500G&id=300
Radeon HD 7500G + 7500M/7600M Dual,616,1558,NA,NA,video_lookup.php?gpu=Radeon+HD+7500G+%2B+7500M%2F7600M+Dual&id=2660
Radeon HD 7500G + 7550M Dual,497,1715,NA,NA,video_lookup.php?gpu=Radeon+HD+7500G+%2B+7550M+Dual&id=2491
Radeon HD 7500G + HD 7500M/7600M Dual,355,1852,NA,NA,video_lookup.php?gpu=Radeon+HD+7500G+%2B+HD+7500M%2F7600M+Dual&id=3379
Radeon HD 7520G,314,1894,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G&id=301
Radeon HD 7520G + 7400M Dual,486,1725,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7400M+Dual&id=3124
Radeon HD 7520G + 7470M Dual,542,1661,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7470M+Dual&id=2373
Radeon HD 7520G + 7500/7600 Dual,582,1602,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7500%2F7600+Dual&id=2741
Radeon HD 7520G + 7600M Dual,591,1587,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7600M+Dual&id=2236
Radeon HD 7520G + 7610M Dual,588,1592,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7610M+Dual&id=2624
Radeon HD 7520G + 7650M Dual,453,1769,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7650M+Dual&id=2689
Radeon HD 7520G + 7670M Dual,523,1684,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7670M+Dual&id=302
Radeon HD 7520G + 7700M Dual,1060,1186,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+7700M+Dual&id=2499
Radeon HD 7520G + 8600/8700M Dual,311,1895,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+8600%2F8700M+Dual&id=3014
Radeon HD 7520G + 8750M Dual,376,1832,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+8750M+Dual&id=3092
Radeon HD 7520G + HD 7400M Dual,544,1657,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+7400M+Dual&id=3361
Radeon HD 7520G + HD 7500/7600 Dual,832,1336,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+7500%2F7600+Dual&id=3415
Radeon HD 7520G + HD 7600M Dual,447,1776,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+7600M+Dual&id=3021
Radeon HD 7520G + HD 7670M Dual,495,1717,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+7670M+Dual&id=3413
Radeon HD 7520G + HD 7700M Dual,574,1614,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+7700M+Dual&id=3609
Radeon HD 7520G + HD 8600/8700M Dual,623,1545,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+8600%2F8700M+Dual&id=2970
Radeon HD 7520G + HD 8750M Dual,651,1510,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+%2B+HD+8750M+Dual&id=3253
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574,1617,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+N+HD+7520G+%2B+HD+7500%2F7600+7500%2F760&id=2691
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,364,1847,NA,NA,video_lookup.php?gpu=Radeon+HD+7520G+N+HD+7520G+%2B+HD+7600M+N+HD+7600M+D&id=2748
Radeon HD 7540D,333,1872,NA,NA,video_lookup.php?gpu=Radeon+HD+7540D&id=2166
Radeon HD 7540D + 6570 Dual,719,1442,NA,NA,video_lookup.php?gpu=Radeon+HD+7540D+%2B+6570+Dual&id=2581
Radeon HD 7540D + 7500 Dual,821,1349,NA,NA,video_lookup.php?gpu=Radeon+HD+7540D+%2B+7500+Dual&id=3090
Radeon HD 7540D + HD 6450 Dual,643,1520,NA,NA,video_lookup.php?gpu=Radeon+HD+7540D+%2B+HD+6450+Dual&id=2851
Radeon HD 7550M,464,1753,NA,NA,video_lookup.php?gpu=Radeon+HD+7550M&id=303
Radeon HD 7550M/7650M,728,1432,NA,NA,video_lookup.php?gpu=Radeon+HD+7550M%2F7650M&id=304
Radeon HD 7560D,458,1761,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D&id=305
Radeon HD 7560D + 6450 Dual,568,1623,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+6450+Dual&id=2362
Radeon HD 7560D + 6570 Dual,833,1335,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+6570+Dual&id=2221
Radeon HD 7560D + 6670 Dual,1130,1153,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+6670+Dual&id=2303
Radeon HD 7560D + 7560D Dual,982,1232,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+7560D+Dual&id=2880
Radeon HD 7560D + 7570 Dual,985,1230,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+7570+Dual&id=2658
Radeon HD 7560D + 7670 Dual,1426,1052,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+7670+Dual&id=306
Radeon HD 7560D + 7700 Dual,1919,872,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+7700+Dual&id=2835
Radeon HD 7560D + HD 6570 Dual,1237,1109,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+6570+Dual&id=2858
Radeon HD 7560D + HD 6670 Dual,1554,1004,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+6670+Dual&id=2894
Radeon HD 7560D + HD 7000 Dual,534,1668,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+7000+Dual&id=2891
Radeon HD 7560D + HD 7600 Dual,1258,1104,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+7600+Dual&id=3739
Radeon HD 7560D + HD 7670 Dual,1380,1064,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+7670+Dual&id=2959
Radeon HD 7560D + HD 7700 Dual,1346,1075,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+7700+Dual&id=3158
Radeon HD 7560D + HD 8570 Dual,935,1263,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+HD+8570+Dual&id=2856
Radeon HD 7560D + R5 235 Dual,563,1629,NA,NA,video_lookup.php?gpu=Radeon+HD+7560D+%2B+R5+235+Dual&id=3267
Radeon HD 7570,613,1563,5.99,$102.49*,video_lookup.php?gpu=Radeon+HD+7570&id=90
Radeon HD 7570M,426,1791,NA,NA,video_lookup.php?gpu=Radeon+HD+7570M&id=307
Radeon HD 7570M/HD 7670M,699,1463,NA,NA,video_lookup.php?gpu=Radeon+HD+7570M%2FHD+7670M&id=3046
Radeon HD 7580D,350,1856,NA,NA,video_lookup.php?gpu=Radeon+HD+7580D&id=2533
Radeon HD 7600G,332,1873,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G&id=2290
Radeon HD 7600G + 6400M Dual,376,1833,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+6400M+Dual&id=2598
Radeon HD 7600G + 7450M Dual,389,1820,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+7450M+Dual&id=2501
Radeon HD 7600G + 7500M/7600M Dual,405,1810,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+7500M%2F7600M+Dual&id=2508
Radeon HD 7600G + 7550M Dual,423,1795,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+7550M+Dual&id=2855
Radeon HD 7600G + 8500M/8700M Dual,333,1871,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+8500M%2F8700M+Dual&id=2746
Radeon HD 7600G + HD 7400M Dual,328,1879,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+HD+7400M+Dual&id=3321
Radeon HD 7600G + HD 7500M/7600M Dual,476,1738,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+HD+7500M%2F7600M+Dual&id=3230
Radeon HD 7600G + HD 7550M Dual,509,1696,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+HD+7550M+Dual&id=3098
Radeon HD 7600G + HD 8670M Dual,543,1658,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+HD+8670M+Dual&id=3180
Radeon HD 7600G + HD Dual,435,1785,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+%2B+HD+Dual&id=2780
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,1679,NA,NA,video_lookup.php?gpu=Radeon+HD+7600G+N+HD+7600G+%2B+HD+ON+HD+Dual&id=3629
Radeon HD 7600M + 7600M Dual,773,1386,NA,NA,video_lookup.php?gpu=Radeon+HD+7600M+%2B+7600M+Dual&id=2234
Radeon HD 7610M,632,1534,NA,NA,video_lookup.php?gpu=Radeon+HD+7610M&id=308
Radeon HD 7620G,364,1848,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G&id=309
Radeon HD 7620G + 8600M Dual,508,1697,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G+%2B+8600M+Dual&id=2728
Radeon HD 7620G + 8670M Dual,577,1610,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G+%2B+8670M+Dual&id=2765
Radeon HD 7620G + HD 8600M Dual,442,1780,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G+%2B+HD+8600M+Dual&id=3066
Radeon HD 7620G + HD 8670M Dual,507,1701,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G+%2B+HD+8670M+Dual&id=2824
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451,1772,NA,NA,video_lookup.php?gpu=Radeon+HD+7620G+N+HD+7620G+%2B+HD+8600M+N+HD+8600M+D&id=2751
Radeon HD 7640G,456,1764,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G&id=310
Radeon HD 7640G + 6400M Dual,526,1677,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+6400M+Dual&id=2301
Radeon HD 7640G + 7400M Dual,637,1526,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7400M+Dual&id=2442
Radeon HD 7640G + 7450M Dual,754,1408,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7450M+Dual&id=2913
Radeon HD 7640G + 7470M Dual,595,1582,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7470M+Dual&id=311
Radeon HD 7640G + 7500/7600 Dual,627,1543,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7500%2F7600+Dual&id=2566
Radeon HD 7640G + 7500M/7600M Dual,775,1382,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7500M%2F7600M+Dual&id=2211
Radeon HD 7640G + 7600M Dual,705,1456,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7600M+Dual&id=312
Radeon HD 7640G + 7610M Dual,510,1695,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7610M+Dual&id=2677
Radeon HD 7640G + 7650M Dual,747,1413,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7650M+Dual&id=2786
Radeon HD 7640G + 7670M Dual,644,1519,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7670M+Dual&id=313
Radeon HD 7640G + 7690M Dual,945,1254,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7690M+Dual&id=2757
Radeon HD 7640G + 7700M Dual,690,1469,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+7700M+Dual&id=2730
Radeon HD 7640G + 8500M Dual,585,1599,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8500M+Dual&id=2809
Radeon HD 7640G + 8570M Dual,558,1636,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8570M+Dual&id=2763
Radeon HD 7640G + 8600/8700M Dual,688,1471,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8600%2F8700M+Dual&id=2669
Radeon HD 7640G + 8600M Dual,249,1953,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8600M+Dual&id=3873
Radeon HD 7640G + 8670M Dual,558,1635,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8670M+Dual&id=2797
Radeon HD 7640G + 8750M Dual,654,1503,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+8750M+Dual&id=2733
Radeon HD 7640G + HD 7400M Dual,621,1549,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7400M+Dual&id=2978
Radeon HD 7640G + HD 7500/7600 Dual,423,1794,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7500%2F7600+Dual&id=3329
Radeon HD 7640G + HD 7600M Dual,704,1458,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7600M+Dual&id=2990
Radeon HD 7640G + HD 7600M N HD 7600M Dual,406,1808,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7600M+N+HD+7600M+Dual&id=2770
Radeon HD 7640G + HD 7670M Dual,518,1690,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7670M+Dual&id=2925
Radeon HD 7640G + HD 7700M Dual,589,1589,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7700M+Dual&id=3372
Radeon HD 7640G + HD 7700M N HD 7700M Dual,630,1536,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+7700M+N+HD+7700M+Dual&id=3211
Radeon HD 7640G + HD 8500M Dual,607,1570,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8500M+Dual&id=2907
Radeon HD 7640G + HD 8500M N HD 8500M Dual,665,1492,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8500M+N+HD+8500M+Dual&id=2718
Radeon HD 7640G + HD 8570M Dual,474,1742,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8570M+Dual&id=2889
Radeon HD 7640G + HD 8600/8700M Dual,586,1595,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8600%2F8700M+Dual&id=3131
Radeon HD 7640G + HD 8670M Dual,677,1480,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8670M+Dual&id=3280
Radeon HD 7640G + HD 8750M Dual,996,1223,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+HD+8750M+Dual&id=3288
Radeon HD 7640G + R5 M200 Dual,559,1632,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+%2B+R5+M200+Dual&id=3246
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,1344,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+N+HD+7640G+%2B+HD+7600M+N+HD+7600M+D&id=2700
Radeon HD 7640G N HD 7640G + HD 7670M Dual,679,1477,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+N+HD+7640G+%2B+HD+7670M+Dual&id=2735
Radeon HD 7640G N HD 7640G + HD 8570M Dual,422,1797,NA,NA,video_lookup.php?gpu=Radeon+HD+7640G+N+HD+7640G+%2B+HD+8570M+Dual&id=2762
Radeon HD 7650A,567,1625,2.17,$262.00*,video_lookup.php?gpu=Radeon+HD+7650A&id=332
Radeon HD 7650M,439,1781,NA,NA,video_lookup.php?gpu=Radeon+HD+7650M&id=314
Radeon HD 7660D,508,1698,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D&id=315
Radeon HD 7660D + 6570 Dual,1100,1164,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+6570+Dual&id=2448
Radeon HD 7660D + 6670 Dual,1238,1107,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+6670+Dual&id=2249
Radeon HD 7660D + 7470 Dual,465,1752,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+7470+Dual&id=2266
Radeon HD 7660D + 7500 Dual,1121,1157,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+7500+Dual&id=2769
Radeon HD 7660D + 7540D Dual,1204,1124,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+7540D+Dual&id=2450
Radeon HD 7660D + 7670 Dual,1061,1185,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+7670+Dual&id=2255
Radeon HD 7660D + HD 6670 Dual,1484,1034,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+HD+6670+Dual&id=3091
Radeon HD 7660D + HD 7000 Dual,633,1533,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+HD+7000+Dual&id=2879
Radeon HD 7660D + HD 7400 Dual,339,1865,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+HD+7400+Dual&id=3307
Radeon HD 7660D + HD 7700 Dual,1958,863,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+HD+7700+Dual&id=3335
Radeon HD 7660D + R5 235 Dual,523,1683,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+R5+235+Dual&id=3687
Radeon HD 7660D + R7 240 Dual,941,1257,NA,NA,video_lookup.php?gpu=Radeon+HD+7660D+%2B+R7+240+Dual&id=3163
Radeon HD 7660G,473,1743,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G&id=316
Radeon HD 7660G + 7400M Dual,588,1593,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7400M+Dual&id=2367
Radeon HD 7660G + 7470M Dual,630,1537,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7470M+Dual&id=317
Radeon HD 7660G + 7600M Dual,831,1338,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7600M+Dual&id=2233
Radeon HD 7660G + 7610M Dual,745,1416,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7610M+Dual&id=2335
Radeon HD 7660G + 7670M Dual,743,1419,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7670M+Dual&id=318
Radeon HD 7660G + 7700M Dual,757,1405,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7700M+Dual&id=2409
Radeon HD 7660G + 7730M Dual,931,1267,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+7730M+Dual&id=2779
Radeon HD 7660G + 8600M Dual,445,1777,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+8600M+Dual&id=2837
Radeon HD 7660G + 8670M Dual,587,1594,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+8670M+Dual&id=2839
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,1217,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7500%2F7600+7500%2F7600+Dual&id=2861
Radeon HD 7660G + HD 7500/7600 Dual,760,1402,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7500%2F7600+Dual&id=3570
Radeon HD 7660G + HD 7500M/7600M Dual,999,1220,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7500M%2F7600M+Dual&id=3488
Radeon HD 7660G + HD 7600M Dual,568,1624,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7600M+Dual&id=2864
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,1760,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7600M+N+HD+7600M+Dual&id=2901
Radeon HD 7660G + HD 7670M Dual,706,1455,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7670M+Dual&id=2794
Radeon HD 7660G + HD 7700M Dual,777,1378,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7700M+Dual&id=2988
Radeon HD 7660G + HD 7730M Dual,881,1299,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+7730M+Dual&id=3433
Radeon HD 7660G + HD 8500M Dual,758,1403,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+8500M+Dual&id=2943
Radeon HD 7660G + HD 8600/8700M Dual,747,1414,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+8600%2F8700M+Dual&id=3514
Radeon HD 7660G + HD 8600M Dual,363,1849,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+8600M+Dual&id=3507
Radeon HD 7660G + HD 8670M Dual,711,1452,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+%2B+HD+8670M+Dual&id=3390
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722,1438,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7600M+N+HD+7600M+D&id=2726
Radeon HD 7660G N HD 7660G + HD 7670M Dual,704,1457,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7670M+Dual&id=2795
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966,1242,NA,NA,video_lookup.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7700M+N+HD+7700M+D&id=2750
Radeon HD 7670,804,1360,NA,NA,video_lookup.php?gpu=Radeon+HD+7670&id=319
Radeon HD 7670A,1050,1193,NA,NA,video_lookup.php?gpu=Radeon+HD+7670A&id=333
Radeon HD 7670M,468,1748,0.74,$629.99*,video_lookup.php?gpu=Radeon+HD+7670M&id=320
Radeon HD 7670M + 7670M Dual,738,1425,NA,NA,video_lookup.php?gpu=Radeon+HD+7670M+%2B+7670M+Dual&id=2277
Radeon HD 7690M,909,1283,NA,NA,video_lookup.php?gpu=Radeon+HD+7690M&id=2294
Radeon HD 7690M XT,1009,1211,NA,NA,video_lookup.php?gpu=Radeon+HD+7690M+XT&id=3024
Radeon HD 7700-serie,1899,881,NA,NA,video_lookup.php?gpu=Radeon+HD+7700-serie&id=2317
Radeon HD 7730,1195,1128,5.14,$232.70*,video_lookup.php?gpu=Radeon+HD+7730&id=3138
Radeon HD 7730M,780,1376,NA,NA,video_lookup.php?gpu=Radeon+HD+7730M&id=2995
Radeon HD 7750,1691,952,12.57,$134.59,video_lookup.php?gpu=Radeon+HD+7750&id=321
Radeon HD 7750M,1191,1129,NA,NA,video_lookup.php?gpu=Radeon+HD+7750M&id=2476
Radeon HD 7770,2175,792,7.25,$300.00*,video_lookup.php?gpu=Radeon+HD+7770&id=322
Radeon HD 7790,3090,631,22.07,$139.99*,video_lookup.php?gpu=Radeon+HD+7790&id=2502
Radeon HD 7800-serie,4029,528,NA,NA,video_lookup.php?gpu=Radeon+HD+7800-serie&id=2967
Radeon HD 7850,3882,537,22.19,$174.99,video_lookup.php?gpu=Radeon+HD+7850&id=323
Radeon HD 7850M,1372,1067,NA,NA,video_lookup.php?gpu=Radeon+HD+7850M&id=1688
Radeon HD 7870,4603,484,26.16,$176.00*,video_lookup.php?gpu=Radeon+HD+7870&id=324
Radeon HD 7870 XT,4469,498,NA,NA,video_lookup.php?gpu=Radeon+HD+7870+XT&id=2557
Radeon HD 7870M,1507,1023,NA,NA,video_lookup.php?gpu=Radeon+HD+7870M&id=2308
Radeon HD 7950 / R9 280,4764,471,19.78,$240.83*,video_lookup.php?gpu=Radeon+HD+7950+%2F+R9+280&id=325
Radeon HD 7970 / R9 280X,5247,424,21.25,$246.99*,video_lookup.php?gpu=Radeon+HD+7970+%2F+R9+280X&id=51
