name,steam_appid,is_free,header_image,minimum_req,genres,recommendations,release_date
Dragon Spirits 2,1965190,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965190/header.jpg?t=1738910810,"['{""OS "": ""Windows 7 and above"", ""Processor"": ""12 GHz"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""2 GB"", ""DirectX"": ""Version 11"", ""Storage"": ""4 GB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]",113,"15 Sep, 2024"
MAGICAL ANGEL FAIRY HEART,1965370,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965370/header.jpg?t=1728716126,"['{""OS"": ""WIN7"", ""Processor"": ""Intel Core i32100"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""Nvidia GeForce GTX 660 2G"", ""Storage"": ""1 GB available space""}']","[{'id': '1', 'description': 'Action'}]",116,"12 May, 2022"
Rolando The Majestic,1965410,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965410/header.jpg?t=1653332455,"['{""OS"": ""Windows 10 64Bit"", ""Processor"": ""Multicore 25GHz"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""GeForce 750M  GeForce GTX 650"", ""DirectX"": ""Version 11"", ""Storage"": ""1 GB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}]",,"23 May, 2022"
Goldilock One: BOSS ARENA,1965430,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965430/header.jpg?t=1735914096,"['{""OS "": ""Windows 8 or newer"", ""Processor"": ""Core I3 or Superior"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Gtx 760 or newer"", ""DirectX"": ""Version 11"", ""Storage"": ""10 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '37', 'description': 'Free To Play'}, {'id': '70', 'description': 'Early Access'}]",,"2 Oct, 2024"
The Last Secret,1965580,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965580/9e5ce063859315e941af60c23732ec2b9082de4d/header.jpg?t=1743238105,"['{""OS "": ""Windows 7 or higher"", ""Processor"": ""20 Ghz 64bit Intelcompatible"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""OpenGL 30 or DirectX 11""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",,"30 Aug, 2022"
Froggie,1965610,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965610/header.jpg?t=1709599905,"['{""OS "": ""Windows 7"", ""Processor"": ""2 Ghz Dual Core"", ""Memory"": ""2 GB RAM"", ""DirectX"": ""Version 90"", ""Storage"": ""50 MB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",123,"4 Nov, 2022"
Dice Tribes: Ambitions,1965800,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965800/header.jpg?t=1664335546,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10"", ""Processor"": ""20 GHz"", ""Memory"": ""1 GB RAM"", ""Storage"": ""100 MB available space""}']","[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]",115,"15 Jun, 2022"
Let's Play Jigsaw Puzzles,1965860,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965860/header.jpg?t=1739212837,"['{""OS "": ""Windows 7 SP18110"", ""Processor"": ""2014 or newer Intel Core i5  AMD"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Integrated Graphics"", ""DirectX"": ""Version 11"", ""Network"": ""Broadband Internet connection"", ""Storage"": ""4 GB available space""}']","[{'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free To Play'}]",,"10 Feb, 2025"
HyperFlight,1965890,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965890/header.jpg?t=1741380163,"['{""OS "": ""Windows 7 8 10 11"", ""Processor"": ""Intel CoreI3  AMD Ryzen 5"", ""Memory"": ""4 GB RAM"", ""Storage"": ""934 MB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",,"7 Mar, 2025"
Quantum Tripper,1965970,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965970/header.jpg?t=1725960243,"['{""OS "": ""Windows 7"", ""Processor"": ""20 Ghz"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Nvidia GTX 680 AMD R9 280X"", ""Storage"": ""1 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}, {'id': '70', 'description': 'Early Access'}]",,"27 May, 2022"
